"","school_id","short_name","long_name","school_type","primary_category","address","city","state","zip","progress_report_year","school_survey_student_response_rate_pct","school_survey_teacher_response_rate_pct","school_survey_involved_families","school_survey_supportive_environment","school_survey_ambitious_instruction","school_survey_effective_leaders","school_survey_collaborative_teachers","school_survey_safety","suspensions_per_100_students_year_2_pct","misconducts_to_suspensions_year_2_pct","average_length_suspension_year_2_pct","behavior_discipline_year_1","behavior_discipline_year_2","student_attendance_year_1_pct","student_attendance_year_2_pct","teacher_attendance_year_1_pct","teacher_attendance_year_2_pct","one_year_dropout_rate_year_1_pct","one_year_dropout_rate_year_2_pct","mobility_rate_pct","chronic_truancy_pct","school_latitude","school_longitude","sat_grade_11_score_school_avg","attainment_psat_grade_9_school_pct","attainment_psat_grade_10_school_pct","attainment_sat_grade_11_school_pct","attainment_all_grades_school_pct","truancy_bin"
"55",609865,"JORDAN","Jordan Elementary Community School","Neighborhood","ES","7414 N WOLCOTT AVE","Chicago","Illinois",60626,2022,87.6,58.5,3,4,3,2,2,3,0.8,50,"1.8 days",2021,2022,94.1,90.9,94.5,92.4,NA,NA,20.4,32.3,42.017088,-87.677763,0,0,0,0,0,"20-40%"
"56",610564,"DISNEY II HS","Disney II Magnet High School","Magnet","HS","3900 N LAWNDALE AVE","Chicago","Illinois",60618,2022,57.9,84.4,4,3,4,3,3,2,4.3,30.8,"1.8 days",2021,2022,88.4,84.8,89.3,92.5,0.9,NA,3.8,54.5,41.952488,-87.721364,934,38.3,30.8,28.7,32.5,"40-60%"
"57",610146,"REVERE","Paul Revere Elementary School","Neighborhood","ES","1010 E 72ND ST","Chicago","Illinois",60619,2022,64.9,60,NA,3,4,3,2,2,22,60,"1.7 days",2021,2022,83.7,83,81.7,91.1,NA,NA,21.3,62.6,41.764196,-87.600177,0,0,0,0,0,"60-80%"
"58",610003,"CUFFE","Paul Cuffe Math-Science Technology Academy ES","Neighborhood","ES","8324 S RACINE AVE","Chicago","Illinois",60620,2022,90.8,67.9,4,3,4,3,3,3,0.5,25,"2.0 days",2021,2022,91.5,90,89.9,95.1,NA,NA,11.8,41.8,41.742452,-87.653633,0,0,0,0,0,"40-60%"
"59",609708,"FOREMAN HS","Edwin G. Foreman College and Career Academy","Neighborhood","HS","3235 N LECLAIRE AVE","Chicago","Illinois",60641,2022,55,61.7,2,3,3,2,2,1,24.2,5.7,"1.8 days",2021,2022,72.7,74.3,81.6,91.1,7.2,9,22.4,71.9,41.939797,-87.754167,845,12.5,7,12.5,10.4,"60-80%"
"60",609756,"CURIE HS","Marie Sklodowska Curie Metropolitan High School","Magnet","HS","4959 S ARCHER AVE","Chicago","Illinois",60632,2022,63.7,82.3,2,3,3,1,2,1,11.7,38,"1.9 days",2021,2022,83,78.5,80.9,91.2,2.2,4,17.2,66,41.80306,-87.722042,914,30,27.6,24.3,27.4,"60-80%"
"61",610323,"BOWEN HS","Bowen High School","Small","HS","2710 E 89TH ST","Chicago","Illinois",60617,2022,68,61.8,3,3,3,2,3,2,6.8,11.5,"2.8 days",2021,2022,72,75.9,80.2,91,0.9,0.5,22.6,69.9,41.734627,-87.55755,770,2.8,3.1,0,1.8,"60-80%"
"62",610019,"KERSHAW","Joshua D Kershaw Elementary School","Magnet","ES","6450 S LOWE AVE","Chicago","Illinois",60621,2022,79.3,72.7,3,4,4,3,4,2,0.4,20,"3.0 days",2021,2022,91.9,89.7,86.3,93.8,NA,NA,8.7,31,41.776453,-87.640892,0,0,0,0,0,"20-40%"
"63",610402,"DEVRY HS","DeVry University Advantage Academy HS","Magnet","HS","1900 W LAWRENCE AVE","Chicago","Illinois",60640,2022,95.6,88.9,NA,5,3,4,4,3,0.6,2.6,"3.0 days",2021,2022,93.9,91.7,NA,NA,NA,NA,NA,37,41.941388,-87.690761,1041,0,0,56.8,56.8,"20-40%"
"64",610133,"WARD L","Laura S Ward Elementary School","Neighborhood","ES","646 N LAWNDALE AVE","Chicago","Illinois",60624,2022,94.5,79.5,2,3,5,3,3,3,0.3,2.9,"1.0 days",2021,2022,83.1,85.8,89.1,91.9,NA,NA,21,48.9,41.893236,-87.718797,0,0,0,0,0,"40-60%"
